datum,prirustkovy_pocet_nakazenych,kumulativni_pocet_nakazenych
2020-10-18,5060,173900
2020-10-19,8076,181976
2020-10-20,11984,193960
2020-10-21,14971,208931
2020-10-22,14156,223087
2020-10-23,15253,238340
2020-10-24,12471,250811
2020-10-25,7300,258111
2020-10-26,10273,268384
2020-10-27,15664,284048
2020-10-28,12978,297026
2020-10-29,13051,310077
2020-10-30,13606,323683
2020-10-31,11428,335111
2020-11-01,6551,341662
2020-11-02,9240,350902
2020-11-03,12088,362990
2020-11-04,15727,378717
2020-11-05,13232,391949
2020-11-06,11549,403498
